%time,field.x,field.y,field.z
1701936021538322058,9.5607328414917,9.5607328414917,9.5607328414917
1701936021591804399,5.2273993492126465,5.2291035652160645,5.2291035652160645
1701936021654508632,9.562437057495117,9.559369087219238,9.559369087219238
1701936021706303033,9.559369087219238,9.559709548950195,9.559709548950195
1701936021776815784,5.559709548950195,5.561755657196045,5.561755657196045
1701936021816730156,9.561755180358887,9.561073303222656,9.561073303222656
1701936021986263371,4.894406795501709,4.894406795501709,4.894406795501709
1701936022041032800,9.561073303222656,9.563118934631348,9.563118934631348
1701936022093324493,5.229785442352295,5.226717472076416,5.226717472076416
1701936022156229355,9.560050010681152,9.561073303222656,9.561073303222656
1701936022211815108,9.561073303222656,9.5607328414917,9.5607328414917
1701936022263967300,9.5607328414917,9.5607328414917,9.5607328414917
1701936022313480432,9.5607328414917,9.5607328414917,9.5607328414917
1701936022372439688,5.560732364654541,5.559709548950195,5.559709548950195
1701936022425991784,9.559709548950195,9.560391426086426,9.560391426086426
1701936022483362145,9.560391426086426,9.559709548950195,9.559709548950195
1701936022655295771,4.893043041229248,4.892702102661133,4.892702102661133
1701936022717905216,9.559369087219238,9.560391426086426,9.560391426086426
1701936022767678913,9.560391426086426,9.559369087219238,9.559369087219238
1701936022815037182,9.559369087219238,9.559709548950195,9.559709548950195
1701936022873906327,9.559709548950195,9.561755180358887,9.561755180358887
1701936022942324802,9.561755180358887,9.561073303222656,9.561073303222656
1701936022985559248,9.561073303222656,9.560050010681152,9.560050010681152
1701936023035971238,9.560050010681152,9.559027671813965,9.559027671813965
1701936023091249184,9.559027671813965,9.560391426086426,9.560391426086426
1701936023143927195,9.560391426086426,9.5607328414917,9.5607328414917
1701936023195907483,9.5607328414917,9.560050010681152,9.560050010681152
1701936023249581225,9.560050010681152,9.559709548950195,9.559709548950195
1701936023308518447,9.559709548950195,9.561073303222656,9.561073303222656
1701936023377490098,9.561073303222656,9.560050010681152,9.560050010681152
1701936023424994158,9.560050010681152,9.559709548950195,9.559709548950195
1701936023584361698,4.893043041229248,4.8937249183654785,4.8937249183654785
1701936023637642996,9.560391426086426,9.561755180358887,9.561755180358887
1701936023687936140,9.561755180358887,9.559027671813965,9.559027671813965
1701936023753571264,9.559027671813965,9.559709548950195,9.559709548950195
1701936023796025559,9.559709548950195,9.561073303222656,9.561073303222656
1701936023833582907,9.561073303222656,9.560391426086426,9.560391426086426
1701936023893159161,9.560391426086426,9.559709548950195,9.559709548950195
1701936023941797624,9.559709548950195,9.559709548950195,9.559709548950195
1701936023994432326,9.559709548950195,9.560391426086426,9.560391426086426
1701936024044394844,9.560391426086426,9.561073303222656,9.561073303222656
1701936024109604063,9.561073303222656,9.560391426086426,9.560391426086426
1701936024156820392,9.560391426086426,9.5607328414917,9.5607328414917
1701936024215020117,9.5607328414917,9.5607328414917,9.5607328414917
1701936024263124252,9.5607328414917,9.559027671813965,9.559027671813965
1701936024324896630,9.559027671813965,9.560391426086426,9.560391426086426
1701936024374046115,9.560391426086426,9.559709548950195,9.559709548950195
1701936024536097134,4.893043041229248,4.8937249183654785,4.8937249183654785
1701936024586598001,9.560391426086426,9.5607328414917,9.5607328414917
1701936024640596061,4.894065856933594,4.8937249183654785,6.227058410644531
1701936024703526337,10.893725395202637,10.894065856933594,9.227398872375488
1701936024751041895,10.5607328414917,10.5607328414917,10.5607328414917
1701936024808919245,8.894065856933594,8.894065856933594,8.5607328414917
1701936024967898048,4.2273993492126465,4.228081226348877,4.5614142417907715
1701936025028576376,8.894747734069824,8.892702102661133,8.892702102661133
1701936025184285010,4.55936861038208,4.561073303222656,4.561073303222656
1701936025246318943,8.89440631866455,8.89304256439209,8.89304256439209
1701936025305674363,8.89304256439209,8.893725395202637,8.893725395202637
1701936025483342105,4.560391426086426,4.559027671813965,4.559027671813965
1701936025530016306,8.892361640930176,8.893725395202637,8.893725395202637
1701936025591986380,8.893725395202637,8.893383979797363,8.560050010681152
1701936025746072913,4.226717472076416,4.228081226348877,4.894747734069824
1701936025792637143,9.561413764953613,9.5607328414917,9.5607328414917
1701936025846789713,4.894065856933594,4.894065856933594,4.894065856933594
1701936025898341361,9.5607328414917,9.56209659576416,9.56209659576416
