%time,field.x,field.y,field.z
1701936021474834728,0.0,0.0,0.0
1701936021476752479,1.4169062013345917e-09,3.090635905204454e-09,4.6655484972792775e-09
1701936021478722677,1.036546732589553e-08,1.6230785386910346e-08,2.189679494067794e-08
1701936021481283880,4.510479589287784e-08,6.06919142077274e-08,7.57169091116737e-08
1701936021484084500,1.26421804643841e-07,1.5413348112108933e-07,1.7811292103014623e-07
1701936021487409865,2.746706675707735e-07,3.059229450689539e-07,3.2798044577547807e-07
1701936021489063086,3.580183635963423e-07,3.8581536904307176e-07,4.0260843052114014e-07
1701936021491926107,4.941681329436849e-07,5.1362346718571e-07,5.206190260164398e-07
1701936021494173419,5.918645340736985e-07,6.07530833254785e-07,6.118531160477597e-07
1701936021496370901,6.932443319095014e-07,7.117383994964269e-07,7.192746127217905e-07
1701936021498821031,8.326547039783959e-07,8.562468282247943e-07,8.671874305325373e-07
1701936021500922520,9.750179818586154e-07,1.001041947060623e-06,1.012675852161314e-06
1701936021503027322,1.1326624728482163e-06,1.1596246567178729e-06,1.171347530831875e-06
1701936021504955205,1.2887269363924064e-06,1.3181426095924432e-06,1.3334010433630852e-06
1701936021506893119,1.4668704010849891e-06,1.503569244733763e-06,1.5258556443441528e-06
1701936021508257649,1.6108880299008193e-06,1.6528104715329822e-06,1.6787148007784608e-06
1701936021510893276,1.918392170050791e-06,1.965289783589553e-06,1.9956037157583177e-06
1701936021513585059,2.2624353510153196e-06,2.316800154958636e-06,2.356425394527824e-06
1701936021516189639,2.6358241599121006e-06,2.7016725508834753e-06,2.7526221577633507e-06
1701936021518339307,2.9789395596550927e-06,3.0526887470634957e-06,3.110972873493436e-06
1701936021521566787,3.543588928358183e-06,3.6272615940934318e-06,3.692649439219413e-06
1701936021523824940,3.967418777514691e-06,4.053811418134205e-06,4.119060366785574e-06
1701936021525854263,4.358066322478334e-06,4.44609294662219e-06,4.512659267270638e-06
1701936021528225464,4.83236256508531e-06,4.926668038250141e-06,4.996934707790142e-06
1701936021530256683,5.258774148853498e-06,5.354443392697859e-06,5.421581653190972e-06
1701936021532430743,5.716729708095678e-06,5.8091034774750455e-06,5.871208106123567e-06
1701936021534405338,6.129225325988585e-06,6.222183484828459e-06,6.284276019376028e-06
1701936021536516950,6.579480393971644e-06,6.674888963884404e-06,6.7375919780375684e-06
1701936021538322058,-9.560537427129749,-9.219445613538912,-4.666571601301514
1701936021540268913,-10.108874685195703,-9.748219823682883,-4.934219209518633
1701936021542731082,-10.46870683558456,-10.095214226329029,-5.109856017508893
1701936021545110207,-10.816413315190346,-10.430515565312382,-5.279574182836119
1701936021548511399,-11.3134952160799,-10.909863050291193,-5.5222036046404
1701936021549561614,-11.466947380232467,-11.057840493635977,-5.597104758424002
1701936021552224011,-11.856048255635722,-11.433059398131634,-5.787027812424852
1701936021555022204,-12.265010083910342,-11.827430672863064,-5.986645131607081
1701936021557256311,-12.59149658793506,-12.142269097340046,-6.146005616933601
1701936021559244436,-12.882059107084068,-12.422465199432926,-6.287831331849289
1701936021561126094,-13.15704643128624,-12.68764178327033,-6.422054672482873
1701936021563235540,-13.465344420712357,-12.98494060542688,-6.572537188042528
1701936021565043265,-13.729530141955085,-13.239700955603482,-6.701488175316343
1701936021567215178,-14.046957179421481,-13.545803124961315,-6.856426626755378
1701936021569248759,-14.344139946991474,-13.83238327977274,-7.001483693082507
1701936021571103619,-14.615224694771088,-14.093796518466881,-7.133802125211343
1701936021573843094,-15.015579924420798,-14.479868250470371,-7.329218419402478
1701936021576931523,-15.466946471623896,-14.91513136627272,-7.549533705511325
1701936021579191434,-15.797230820074489,-15.233632135366722,-7.7107478795271245
1701936021581143170,-16.082462125411038,-15.508687218532673,-7.849971325329824
1701936021583231240,-16.387624060327273,-15.802961864281384,-7.998923045496878
1701936021586865006,-16.918678259303945,-16.315069595180397,-8.258134371243017
1701936021588640460,-17.178159942372243,-16.56529372660505,-8.384789213588585
1701936021591804399,-5.22769214964319,-4.888290932424077,-0.3352356912912686
1701936021594252995,-4.772997467724155,-4.433773734171129,0.1192992551385432
1701936021596200209,-4.615251744600757,-4.276089582961115,0.276989567598725
1701936021598305730,-4.444680828043696,-4.10558524310425,0.44750056951672745
1701936021600470991,-4.269261816445204,-3.9302347019748174,0.6228579617823785
1701936021602552594,-4.100622352346084,-3.761661058392183,0.7914381960645788
1701936021604594539,-3.935208463196935,-3.5963117303817462,0.9567939865058647
1701936021608198057,-3.6432617767520425,-3.304479005488837,1.2486381070201544
1701936021610955370,-3.4198834219909906,-3.081187847868818,1.4719379879680385
1701936021612691000,-3.2792892823007462,-2.9406485860886495,1.6124827435358189
1701936021615098339,-3.0842653426118676,-2.7457007706918857,1.807438176930788
1701936021617142578,-2.9186388678910498,-2.5801389495844713,1.9730064632355004
1701936021619172489,-2.7541906021252816,-2.4157548807125004,2.1373969492459794
1701936021621189454,-2.590804661063273,-2.252432720714667,2.300725487294154
1701936021623040314,-2.440861981848966,-2.10254857261447,2.4506154900990174
1701936021624708942,-2.305675986281171,-1.9674153483531103,2.5857539917604973
1701936021626582567,-2.153879045858784,-1.8156776644524912,2.7374976018662704
1701936021628187680,-2.0238501551410852,-1.6856995304317437,2.8674808153831246
1701936021629830426,-1.8907694718994257,-1.5526707917269578,3.0005147552395046
1701936021631807018,-1.7306283763443249,-1.3925922041749839,3.160599598501108
1701936021633575283,-1.5873879308345367,-1.2494076744739746,3.303789719626163
1701936021636131848,-1.3802725857846503,-1.0423731792906372,3.510832302794602
1701936021639547126,-1.1035843698338723,-0.7657929633906213,3.7874233295501387
1701936021642080980,-0.8983038849358704,-0.5605926058251787,3.9926317054078457
1701936021643841227,-0.7557007606355528,-0.41804514603281834,4.135184733493768
1701936021646150481,-0.5686150277407203,-0.2310324438670387,4.322204737829811
1701936021648470032,-0.3807180550825019,-0.04320882131302929,4.510035693287162
1701936021650884950,-0.18507573548905765,0.1523571284364399,4.705609283458412
1701936021652864993,-0.02466408529088855,0.31270616474034324,4.86596458652992
1701936021654508632,-9.562253858054506,-9.218087232157648,-4.66512015353848
1701936021656946533,-9.844404993120618,-9.499927768430512,-4.946960689069573
1701936021659176106,-9.998542320227724,-9.653895419898392,-5.100928342513873
1701936021661504632,-10.159519559409205,-9.814695456065163,-5.261728381755703
1701936021663800925,-10.318255269248272,-9.973256428423607,-5.4202893549558215
1701936021666047971,-10.473595723087076,-10.1284258829391,-5.5754588129286855
1701936021668542366,-10.646027738087588,-10.30066808909193,-5.747701025553868
1701936021671977569,-10.883496713043797,-10.537875652311042,-5.98490858000758
1701936021674276344,-11.04241366773774,-10.696617655512838,-6.143650569024816
1701936021676442734,-11.192166739482552,-10.84620586848341,-6.29323877657227
1701936021678659377,-11.345413927780589,-10.999284360467955,-6.446317269615036
1701936021680759702,-11.490601553485131,-11.144312162181276,-6.591345069412233
1701936021683715529,-11.694942129613272,-11.348427788264752,-6.795460685144575
1701936021686356927,-11.877543269012802,-11.530827906856796,-6.977860794383345
1701936021688723686,-12.041157428621112,-11.694261949001598,-7.141294828261845
1701936021690991520,-12.197915169934642,-11.850847122288162,-7.297879995756234
1701936021693287864,-12.356667189535171,-12.00942438126225,-7.456457251465753
1701936021695442244,-12.505596094455091,-12.158189339038081,-7.605222205028897
1701936021697481010,-12.646531355054426,-12.298969451125604,-7.746002311779306
1701936021700474374,-12.853459438482883,-12.505669734758845,-7.952702585767649
1701936021704047644,-13.10048752881738,-12.752425883106383,-8.199458725112038
1701936021706303033,-9.655733210940754,-9.395653041322557,-4.665741057952596
1701936021708584713,-9.683981787188658,-9.410590622566094,-4.680677713027188
1701936021710930926,-9.698588494083264,-9.418314500223325,-4.68840111043167
1701936021713465117,-9.714367877614233,-9.426658470570219,-4.696744562689838
1701936021716206948,-9.731438688677322,-9.43568532307065,-4.705770851149428
1701936021718904293,-9.748231885336113,-9.444565357596513,-4.714650325753973
1701936021721571998,-9.764840973311413,-9.453348015952331,-4.723432429182072
1701936021723863546,-9.779109108358133,-9.460892795952766,-4.730976735532717
1701936021726083668,-9.792931898307767,-9.46820207641254,-4.738285558540304
1701936021728682177,-9.809110417280875,-9.476757016201384,-4.746839958414743
1701936021731099724,-9.824160755304806,-9.484715372654104,-4.754797812989001
1701936021734207330,-9.843509873651401,-9.49494683887455,-4.765028643860774
1701936021737667753,-9.865054392518758,-9.50633918754623,-4.7764202844123185
1701936021740375627,-9.881912659256903,-9.515253519324377,-4.785334056616069
1701936021742607447,-9.895808055428498,-9.522601130923253,-4.792681206151462
1701936021745147488,-9.911622745621552,-9.530963614220006,-4.801043163383311
1701936021747077589,-9.923640348526979,-9.537318269962277,-4.807397423771338
1701936021749120319,-9.936357095194156,-9.544042622623477,-4.814121363037146
1701936021751142717,-9.94894916457042,-9.55070105478604,-4.820779384535597
1701936021753103713,-9.96115826960146,-9.55715698379877,-4.827234912245459
1701936021755146054,-9.973873550397895,-9.563880565635793,-4.833958074366638
1701936021757147267,-9.98633350964475,-9.570469133768679,-4.840546229010788
1701936021758970744,-9.997686103809922,-9.57647214306125,-4.846548860423598
1701936021761145441,-10.011225182439835,-9.583631309973772,-4.853707575984602
1701936021763469563,-10.025694946460344,-9.591282588789545,-4.8613583688533755
1701936021766050485,-10.041764834413609,-9.599779955605038,-4.86985519728982
1701936021768132680,-10.054727887166832,-9.606634493195699,-4.8767093048929535
1701936021770973509,-10.072414198469438,-9.615986561715374,-4.886060787927553
1701936021773148195,-10.085954637911232,-9.623146390430364,-4.893220166155636
1701936021775002612,-10.0975000660547,-9.629251299843675,-4.899324688714216
1701936021776815784,-5.640761886479461,-5.3716519106193905,-0.6677692686732142
1701936021779097686,-5.424167004316379,-5.147394874843619,-0.4435117056535006
1701936021780905047,-5.328580730060492,-5.048427190650546,-0.34454379100496735
