%time,field.x,field.y,field.z
1701935818508768745,0.0,0.0,0.0
1701935818510953503,-1.2816705426853456e-09,-2.230241222770957e-09,-3.984002190162184e-09
1701935818513110611,-9.760551201195064e-09,-1.4609658250958902e-08,-2.1366539856204736e-08
1701935818515198887,-3.367122324848503e-08,-4.528344526461929e-08,-5.972437034427618e-08
1701935818517395428,-8.495640610819979e-08,-1.0708138637690051e-07,-1.3306819263372964e-07
1701935818519167979,-1.5308493973378227e-07,-1.8632671651708519e-07,-2.2343713208540924e-07
1701935818521484716,-2.8464850985982223e-07,-3.296298809315064e-07,-3.7596880187591575e-07
1701935818524493130,-5.012171779002358e-07,-5.469471314568567e-07,-5.920221197425108e-07
1701935818528314074,-7.920423737933189e-07,-8.353983253539311e-07,-8.861315573633228e-07
1701935818530831329,-9.984615340246235e-07,-1.0521594953383846e-06,-1.1196735152611329e-06
1701935818532869495,-1.195540505253013e-06,-1.2603378471233394e-06,-1.3411306578074239e-06
1701935818535076735,-1.4374001948372896e-06,-1.5097417633447925e-06,-1.6006623295415946e-06
1701935818537646849,-1.7412661459761958e-06,-1.821766709848068e-06,-1.9258856036651437e-06
1701935818540682888,-2.135605495348768e-06,-2.2297916821605537e-06,-2.3530400309813846e-06
1701935818542858311,-2.4479951224101367e-06,-2.5528043163959302e-06,-2.689647402297989e-06
1701935818544903904,-2.7645008132942443e-06,-2.87901726728066e-06,-3.028493395570057e-06
1701935818547018923,-3.114421942637918e-06,-3.2381956507415895e-06,-3.3988935285539807e-06
1701935818549056601,-3.4686576956123187e-06,-3.5988141572826458e-06,-3.767635252823542e-06
1701935818551212322,-3.853747895915743e-06,-3.989767408435992e-06,-4.167522095505898e-06
1701935818553297792,-4.236450782887017e-06,-4.378507808966424e-06,-4.564604195259662e-06
1701935818556349366,-4.811821815070501e-06,-4.9598213727303825e-06,-5.1555108108583875e-06
1701935818559736583,-5.4640068671391355e-06,-5.6215619634723054e-06,-5.833015382709904e-06
1701935818562936550,-6.104908658063455e-06,-6.275778492215133e-06,-6.504553501895029e-06
1701935818565363510,-6.612007920261948e-06,-6.792226145045738e-06,-7.032941751432917e-06
1701935818567604533,-7.094769130637097e-06,-7.2840265998939184e-06,-7.536021981901229e-06
1701935818569531203,-7.52116418826217e-06,-7.717449147793684e-06,-7.978153845222402e-06
1701935818571350116,-7.931359500781702e-06,-8.134606200672322e-06,-8.404609897538226e-06
1701935818573451157,-8.418426505074406e-06,-8.631134509829078e-06,-8.912318971059166e-06
1701935818575343578,-8.871266627867348e-06,-9.092779391951474e-06,-9.385012955207009e-06
1701935818577222388,-2.22053689898196,-1.8903541657602274,-1.0006619553153973
1701935818579401141,-2.3474758077929048,-1.9984179043069161,-1.0578656947635579
1701935818581458345,-2.411829149986278,-2.0532022359411592,-1.0868658917168665
1701935818583191511,-2.466046175671195,-2.099357464464325,-1.1112982519674968
1701935818585749934,-2.546085089366111,-2.167495000695103,-1.1473669954081647
1701935818588475587,-2.6313599976615945,-2.2400899758085475,-1.1857953087814759
1701935818590394240,-2.691379886927731,-2.2911852252999827,-1.2128427042180308
1701935818592461527,-2.7560540042871557,-2.346242648206118,-1.2419874967154476
1701935818595698419,-2.8573129375939375,-2.4324449217463955,-1.2876189079499922
1701935818597946346,-2.9276407785080787,-2.492315387057585,-1.319311506807517
1701935818600300449,-3.0012877405526894,-2.555011444100938,-1.3524998533763262
1701935818602590271,-3.0729208851551197,-2.615993134132158,-1.3847807082306067
1701935818604627558,-3.1366553119183265,-2.670250602989667,-1.4135020814602708
1701935818606773372,-3.203783453589252,-2.7273971620150443,-1.443752813176379
1701935818608711883,-3.264430017987983,-2.779025925109166,-1.4710826948811118
1701935818610685653,-3.326173038745809,-2.8315881140195165,-1.4989067033803058
1701935818612896472,-3.3953374877899534,-2.8904682073850765,-1.5300751275388218
1701935818614715693,-3.4522473206577713,-2.9389158749406485,-1.5557211079894195
1701935818616621607,-3.511872129924794,-2.9896748220785008,-1.5825905847044823
1701935818619292702,-3.595439389479559,-3.060816125956882,-1.6202495750454926
1701935818621660616,-3.669519226936284,-3.1238807342662627,-1.6536331407287463
1701935818624021575,-3.743375327272493,-3.1867548693676766,-1.6869158776584283
1701935818626871300,-3.8325292322909172,-3.2626521119056298,-1.7270924589760646
1701935818629479835,-3.914134924532274,-3.3321235217977945,-1.7638675034250637
1701935818631793926,-3.9865291319363934,-3.393753149809438,-1.7964914786919264
1701935818634029555,-4.05646945713767,-3.453293780237192,-1.8280096483621762
1701935818636523623,-4.134495062916749,-3.5197174640466473,-1.8631714171951785
1701935818638687993,-4.202205296399246,-3.5773596105921195,-1.8936846399901004
1701935818640784766,-4.267797277262893,-3.633198477654774,-1.9232432958044638
1701935818642977499,-4.336395146136761,-3.6915962816460626,-1.9541565548813138
1701935818645267035,-4.4080212870043995,-3.7525720760057206,-1.9864344998929717
1701935818647482100,-4.477320325744985,-3.811566792324749,-2.0176637537153512
1701935818650056029,-4.557844769216941,-3.880117776222274,-2.053951702079819
1701935818652496538,-4.634192362122652,-3.945112990006011,-2.0883573988563833
1701935818654532787,-4.697889973698575,-3.9993391911915794,-2.11706244755669
1701935818656685663,-4.7652423854841715,-4.056676751447685,-2.1474145291945677
1701935818658529437,-4.822928291491307,-4.10578515570267,-2.173410454721154
1701935818661612404,-4.919377319081517,-4.187892868984195,-2.2168748376226897
1701935818663819997,-4.988437856951028,-4.246684573271977,-2.2479967073718035
1701935818665989243,-5.056297547006592,-4.304453989786838,-2.2785774278061566
1701935818668083376,-5.121815205293136,-4.360229624215883,-2.3081027347139984
1701935818670318825,-5.191748469729062,-4.419764300463178,-2.339617935800928
1701935818672045472,-5.245764775445263,-4.4657487598328816,-2.363960217245103
